"","name","img","condicion","bancada","partido","circuncripcion","representante_de","estado","suplente","estado_legal_principal","estado_legal_suplente"
"110","Williams Alexander Gil Linares","http://www.asambleanacional.gob.ve/avatares/williams-alexander-gil-linares-75.jpg","Principal","MUD","CC","2","Guacara, Diego Ibarra Y Mariara","Carabobo","Armando Rafael Lopez Acosta","no imposibilitado",""
"111","Williams Daniel Davila Barrios","http://www.asambleanacional.gob.ve/avatares/williams-daniel-davila-barrios-190.jpg","Principal","MUD","AD","3","Mp. Libertador, Mp. Santos Marquina","Mérida","Lawrence Augusto Castro Rivas","no imposibilitado","no imposibilitado"
"112","Julio Ygarza","","Principal","MUD","MPV","","","Amazonas","","desinrcorporado",""
"113","Nirma Guarulla","","Principal","MUD","MPV","","","Amazonas","","desinrcorporado",""
"114","Jesus Antonio Montilla Aponte","http://www.asambleanacional.gob.ve/avatares/jesus-antonio-montilla-aponte-232.jpg","Principal","PSUV","","1","Mp. Bolivar, Mp. Buchivacoa, Mp. Dabajuro, Mp. Democracia, Mp. Federacion, Mp. Mauroa, Mp. Petit, Mp","Falcón","Eduardo Segundo Linarez Carrera","",""
"115","Yull Jabour Tannous","http://www.asambleanacional.gob.ve/avatares/yull-jabour-tannous-272.jpg","Principal","PSUV","","lista","undefined","Yaracuy","Jose Alvarez Braulio","",""
"116","Yolmar Jose Gudino Paradas","http://www.asambleanacional.gob.ve/avatares/yolmar-jose-gudinacuteo-paradas-38.jpg","Principal","PSUV","","1","Mp. Trujillo, Mp. Bocono, Mp. Juan V Campo Eli, Mp. Pampan, Mp. Pampanito","Trujillo","undefined","",""
"117","Willian Rafael Gil Calderon","http://www.asambleanacional.gob.ve/avatares/willian-rafael-gil-calderon-107.jpg","Principal","PSUV","","lista","undefined","Lara","undefined","",""
"118","Buenaventura Domingo Santana","http://www.asambleanacional.gob.ve/avatares/buenaventura-domingo-santana-279.jpg","Principal","PSUV","","1","Mp. Muñoz, Mp. Paez, Mp. Romulo Gallegos","Apure","Jesmar Hortencia Bona Calzadilla","",""
"119","Arkiely Evony Perfecto Gamero","http://www.asambleanacional.gob.ve/avatares/arkiely-evony-perfecto-gamero-124.jpg","Principal","PSUV","","5","Mp. Acevedo, Mp. Andres Bello, Mp. Brion, Mp. Buroz, Mp. Paez, Mp. Pedro Gual","Miranda","undefined","",""
"120","Carlos Gómez","http://www.asambleanacional.gob.ve/avatares/carlos-gomez-47.jpg","Principal","PSUV","","1","Tucupita, Mp. Pedernales","Delta Amacuro","Angel Raul Parica Pinto","",""
"121","Carlos Alberto Martínez González","http://www.asambleanacional.gob.ve/avatares/carlos-alberto-martinez-gonzalez-141.jpg","Principal","PSUV","","lista","undefined","Sucre","undefined","",""
"122","Tania Valentina Diaz Gonzalez","http://www.asambleanacional.gob.ve/avatares/tania-valentina-diaz-gonzalez-61.jpg","Principal","PSUV","","lista","undefined","Distrito Capital","Ilenia Rosa Medina Carrasco","",""
"123","Sol Elena Mussett De Primera","http://www.asambleanacional.gob.ve/avatares/sol-elena-mussett-de-primera-239.jpg","Principal","PSUV","","lista","undefined","Falcón","undefined","",""
"124","Sergio Enrique Fuenmayor Villalobos","http://www.asambleanacional.gob.ve/avatares/sergio-enrique-fuenmayor-villalobos-210.jpg","Principal","PSUV","","3","Mp. Almirante P, Mp. Blvno Guajira, Mp. Mara","Zulia","Yosmary Mayedis Fernandez Fernandez","",""
"125","Carmen Moreno De Granados","http://www.asambleanacional.gob.ve/avatares/carmen-moreno-de-granados-273.jpg","Principal","PSUV","","1","Mp. Bruzual, Mp. Pe#a, Mp. Urachiche, Mp.jose Antonio Paez","Yaracuy","undefined","",""
"126","Cesar Macario Sandoval","http://www.asambleanacional.gob.ve/avatares/cesar-macario-sandoval-10.jpg","Principal","PSUV","","3","Mp. Antonio Romulo C, Mp. Fco De Miranda, Mp. Garcia De Hevia, Mp. Jauregui, Mp. Panamericano, Mp. S","Tachira","undefined","",""
"127","Carolina Vegas Alvarez","http://www.asambleanacional.gob.ve/avatares/carolina-vegas-alvarez-303.jpg","Principal","PSUV","","lista","undefined","Portuguesa","Ruben Arbey Becerra Cortes","",""
"128","Christopher Constant Campos","http://www.asambleanacional.gob.ve/avatares/christopher-constant-campos-143.jpg","Principal","PSUV","","1","Mp. Roscio, Mp. Camaguan, Mp. Mellado, Mp. Miranda, Mp. Ortiz, Mp.san Geronimo De G","Guárico","Raiza Carrillo","",""
"129","Cilia Flores De Maduro","http://www.asambleanacional.gob.ve/avatares/cilia-flores-de-maduro-156.jpg","Principal","PSUV","","lista","undefined","Cojedes","Asdrubal Coromoto Salazar","",""
"130","Dairene Danessa Delgado Jimenez","http://www.asambleanacional.gob.ve/avatares/dairene-danessa-delgado-jimenez-284.jpg","Principal","PSUV","","2","Mp. Achaguas, Mp. Biruaca, Mp. Pedro Camejo","Apure","undefined","",""
"131","Saul Antonio Ortega Campos","http://www.asambleanacional.gob.ve/avatares/saul-antonio-ortega-campos-79.jpg","Principal","PSUV","","lista","undefined","Carabobo","Hector Enrique Brena Betancourt","",""
"132","Dario Vivas Velasco","http://www.asambleanacional.gob.ve/avatares/dario-vivas-velasco-313.jpg","Principal","PSUV","","lista","undefined","Vargas","Ares Di Fazio Vásquez","",""
"133","Ruben Dario Limardo Gascon","http://www.asambleanacional.gob.ve/avatares/ruben-dario-limardo-gascon-254.jpg","Principal","PSUV","","lista","undefined","Bolívar","undefined","",""
"134","Dinorah Elena Villasmil Blanco","http://www.asambleanacional.gob.ve/avatares/dinorah-elena-villasmil-blanco-165.jpg","Principal","PSUV","","lista","undefined","Nueva Esparta","Dante Rafael Rivas Quijada","",""
"135","Diosdado Cabello Rondon","http://www.asambleanacional.gob.ve/avatares/diosdado-cabello-rondon-261.jpg","Principal","PSUV","","lista","undefined","Monagas","Euribes Rafael Guevara Brazon","",""
